Ticker,QuarterEnd,P/B,EPS,P/E,EV/EBITDA,PEG,Beta,ROE,ROA,Debt_to_Equity
AFL,2025-06-30,2.0358133952070685,1.1200260279838223,92.444281051139,17.987,,0.814,0.022022058823529412,0.0048021421241662395,0.32841911764705883
AFL,2025-03-31,2.2776428824726076,0.053456910964749776,2068.5709737435704,17.987,,0.814,0.0011010706963322956,0.00024114819804087878,0.29428961956109045
AFL,2024-12-31,2.1557648495158084,3.458408186717676,29.579995290569705,17.987,,0.814,0.07287914782741972,0.016178146743106,0.28730170894321405
AFL,2024-09-30,2.4678966572457726,-0.16705076367346425,-658.9018709614252,17.987,,0.814,-0.0037454691904953686,-0.0007240622226374551,0.32130487313733386
AFL,2024-06-30,1.8859979512862757,3.1262859188875765,27.991218596668734,17.987,,0.814,0.06737820094444658,0.014604553624925104,0.2852535800668023
ALL,2025-06-30,2.2969957329039525,7.988636363636363,26.14479970050231,7.265,,0.343,0.087856696521558,0.018197663382056018,0.336888148302437
ALL,2025-03-31,2.4774881742534034,2.244306728502862,91.82112473720343,7.265,,0.343,0.026981679666243423,0.005166679691909587,0.36667875929620897
ALL,2024-12-31,2.3674225036295664,7.27630407984219,26.23688622150049,7.265,,0.343,0.09023260167548088,0.01727335441733786,0.3783872326484766
ALL,2024-09-30,2.3758769310477557,4.494020922310935,41.60380125140599,7.265,,0.343,0.05710720798541127,0.010462182288140809,0.38789711104712543
ALL,2024-06-30,2.2257045236906845,1.254190112759345,124.8882480921664,7.265,,0.343,0.017821568944166262,0.00305440720507899,0.43514779518656116
AXP,2025-06-30,6.318077348791336,4.1451149425287355,70.76027633164537,,,1.283,0.08928847760824488,0.009761263516896967,1.8475132307882765
AXP,2025-03-31,6.010380284148992,3.6855867900034402,72.57580713081147,,,1.283,0.0828152041535799,0.009155199047632545,1.6920389718607782
AXP,2024-12-31,6.828191226290673,3.091168091168091,95.22966786749352,,,1.283,0.07170235263018768,0.007993781795543374,1.6881112873380915
AXP,2024-09-30,6.357932197693305,3.5610795454545454,75.33908727438173,,,1.283,0.08439088430336285,0.009251639425933374,1.8515164775978725
AXP,2024-06-30,5.50471641834959,4.234550561797753,53.93344046369714,,,1.283,0.10206499661475965,0.011075641303509307,1.799593771157752
AIG,2025-06-30,1.1348650145936836,2.0437239336209827,41.19738565652193,4.88,,0.645,0.027547015338678996,0.006892770423748727,0.22292855594885502
AIG,2025-03-31,1.2106802548988314,1.202660450325006,71.91059124333904,4.88,,0.645,0.01683591017631877,0.00431226214599911,0.2111242432282496
AIG,2024-12-31,1.0266920101995047,1.4814583803602885,48.64782297771595,4.88,,0.645,0.02110458284371328,0.005566506738076642,0.20968272620446535
AIG,2024-09-30,1.0081935192401867,0.7282362896072289,99.0028463893528,4.88,,0.645,0.010183480132229939,0.002708779632809872,0.22306036873516297
AIG,2024-06-30,1.0621649967217688,-6.119753230068307,-11.878246977420334,4.88,,0.645,-0.08942102304665542,-0.023688129132169874,0.22349634626194492
AMP,2025-06-30,7.879550984546229,11.227750610093194,45.21078215850016,,,1.233,0.1742847747451496,0.005732735542419539,0.9875041104899704
AMP,2025-03-31,8.46861385871548,6.102335837039037,78.8176651756264,,,1.233,0.10744563214154074,0.003255910063163538,1.138407666789532
AMP,2024-12-31,9.703585107535154,11.136912028367243,47.36726698617534,,,1.233,0.204858454475899,0.005903981742308562,1.046671767406274
AMP,2024-09-30,7.895393231877599,5.256111597761444,88.30170708450191,,,1.233,0.08941382327209099,0.0027477697895885874,1.026421697287839
AMP,2024-06-30,8.289401708498465,8.421760207008289,49.92639653864033,,,1.233,0.16603244542359302,0.004613244296048971,1.1982775886240737
AON,2025-06-30,9.901046526188873,2.6842837273991655,138.3239470644936,18.135,,0.832,0.07157868710594635,0.010720236993149416,2.2472493509704536
AON,2025-03-31,11.806709274447222,4.465525219805645,88.99689457236177,18.135,,0.832,0.1326642837503437,0.01918336513994911,2.544679681055815
AON,2024-12-31,11.992674414366252,3.314814814814815,107.69957609549581,18.135,,0.832,0.11135303265940902,0.014622689676299398,2.7825816485225507
AON,2024-09-30,11.341404768595819,1.584295612009238,216.67704212422274,18.135,,0.832,0.05234243857775065,0.006875814373058033,2.7469861132305815
AON,2024-06-30,10.2527137748914,2.4125230202578267,120.48895310263597,18.135,,0.832,0.0850925625202988,0.010184051464443278,3.00730756739201
APO,2025-06-30,2.2077854441027456,1.1013523176450848,118.66321098851279,,,1.607,0.018605475325595817,0.0015016088666428317,0.358642686276247
APO,2025-03-31,2.406576790792919,0.774850967189751,176.1047957497877,,,1.607,0.013665594855305467,0.001118859876722905,0.32713950037101164
APO,2024-12-31,2.9968277815263136,2.6266532375985516,62.47760745066298,,,1.607,0.047966429954809556,0.00393230923933897,0.34176888315041964
APO,2024-09-30,2.220184115630652,1.433326993939533,86.3462727387255,,,1.607,0.025712564598459147,0.0021996859141444414,0.3109286325734758
APO,2024-06-30,2.33507805611187,1.4977121419878026,77.7830104177757,,,1.607,0.030020412472724713,0.0024617320434973332,0.3454283099880341
ACGL,2025-06-30,1.5484578075469366,3.2951518380394247,28.842373762076768,7.174,,0.475,0.05368690595026258,0.015700360460983907,0.11839763899136323
ACGL,2025-03-31,1.6767327971512658,1.5282215122470713,62.93590263871781,7.174,,0.475,0.02664191227663031,0.007635415558156859,0.12661870503597122
ACGL,2024-12-31,1.6695744200604792,2.484059511158342,37.17704751407399,7.174,,0.475,0.044908741594620556,0.013186472230840832,0.13102785782901058
ACGL,2024-09-30,1.7968309167322634,2.6262626262626263,40.50871643653283,7.174,,0.475,0.0443566490078118,0.013413706962094058,0.12242973870880848
ACGL,2024-06-30,1.7455597507154685,3.375,28.425525806568288,7.174,,0.475,0.06140817807887733,0.019384403879935844,0.1319622550205662
AJG,2025-06-30,3.85553225670907,1.4268829745322062,243.01341818032074,22.63,,0.686,0.01586551181238967,0.004565503366091465,0.5767230648456171
AJG,2025-03-31,3.9467562515200836,2.750992958489063,125.24787793810972,22.63,,0.686,0.03151156184434792,0.009506624540965266,0.6000751553434107
AJG,2024-12-31,3.502867749199106,1.0332,273.66035629786404,22.63,,0.686,0.01280005550159567,0.004019908116385911,0.6682590338757953
AJG,2024-09-30,5.027489764622381,1.4244994316516126,196.36480815781647,22.63,,0.686,0.025602804350674878,0.005460958340539493,0.7025619184903682
AJG,2024-06-30,4.8595432156752585,1.2934732998630762,198.89661122647152,22.63,,0.686,0.02443250885829317,0.0044978629596065245,0.7426223996275637
AIZ,2025-06-30,1.8580519784512877,4.656527561102032,43.41903443907525,8.985,,0.579,0.04279348913340002,0.006623336776830425,0.37908520505592436
AIZ,2025-03-31,2.0284441702606806,2.8847730344797675,72.42348210080802,8.985,,0.579,0.028008100569332468,0.004189960101062066,0.39809330938825416
AIZ,2024-12-31,2.1062564485933772,3.9599676191500257,53.432785921668156,8.985,,0.579,0.03941880274932931,0.0057480454361147435,0.4079150919380422
AIZ,2024-09-30,1.92234411281422,2.604318579167869,75.50444705584881,8.985,,0.579,0.025460011797613837,0.003786903201886093,0.39626662607272656
AIZ,2024-06-30,1.6968208053380305,3.6398040639656504,44.99947194569744,8.985,,0.579,0.03770757148851987,0.005587303467266751,0.41600223807525527
BAC,2025-06-30,1.088982416516292,0.9568786733855049,45.84851644264539,,,1.315,0.02375174817005397,0.0020679181504279684,1.2059753203448609
BAC,2025-03-31,1.0610766554667914,0.9782959156988368,42.4059084504502,,,1.315,0.0250219060088436,0.0022081408624288834,1.1692767803072592
BAC,2024-12-31,1.1180588740355866,0.8757220571927911,49.580249475031344,,,1.315,0.022550489073247644,0.0020435263446265373,1.1052615552224767
BAC,2024-09-30,1.0108648777460894,0.896892733748499,43.46484434893394,,,1.315,0.02325706885387438,0.002074426050892626,1.131040227714224
BAC,2024-06-30,1.0269260075868516,0.8871020864458173,43.75892971171742,,,1.315,0.023467804499612104,0.002116945508834265,1.1259340165775182
BRK-B,2025-06-30,0.0010813558157990093,8600.89151682319,0.05859392488201268,-2.18,,0.8,0.018455084174280444,0.010627439929620059,0.18950402520752646
BRK-B,2025-03-31,0.0011663161940594728,3200.4772556133507,0.16640643708863923,-2.18,,0.8,0.0070088406101635045,0.00395266081138174,0.19174500793310006
